subID,gender,amyg_acq_csp_Sp,vmpfc_acq_csp_Sp,amyg_ext_csp_Sp,vmpfc_ext_csp_Sp,amyg_tes_csp_Sp,vmpfc_tes_csp_Sp,amyg_acq_csp_Up,vmpfc_acq_csp_Up,amyg_ext_csp_Up,vmpfc_ext_csp_Up,amyg_tes_csp_Up,vmpfc_tes_csp_Up,amyg_acq_cs_Sp,vmpfc_acq_cs_Sp,amyg_ext_cs_Sp,vmpfc_ext_cs_Sp,amyg_tes_cs_Sp,vmpfc_tes_cs_Sp,amyg_acq_cs_Up,vmpfc_acq_cs_Up,amyg_ext_cs_Up,vmpfc_ext_cs_Up,amyg_tes_cs_Up,vmpfc_tes_cs_Up
3,male,0.46875,0.4875,0.7,0.55,0.625,0.5125,0.583333333333333,0.527777777777778,0.35,0.5,0.25,0.35,0.45,0.484375,0.59375,0.63125,0.40625,0.53125,0.513888888888889,0.513888888888889,0.525,0.475,0.55,0.525
5,male,0.74375,0.50625,0.75,0.8125,0.6875,0.5375,0.5,0.527777777777778,0.6,0.65,0.7,0.6,0.615625,0.509375,0.5875,0.5,0.64375,0.7375,0.569444444444444,0.597222222222222,0.525,0.775,0.65,0.7
6,male,0.51875,0.575,0.65,0.625,0.5,0.4375,0.611111111111111,0.5,0.6,0.55,0.5,0.55,0.58125,0.58125,0.625,0.64375,0.5375,0.475,0.513888888888889,0.569444444444444,0.65,0.625,0.6,0.7
7,female,0.53125,0.5875,0.5625,0.7625,0.5,0.7125,0.583333333333333,0.583333333333333,0.55,0.65,0.8,0.65,0.540625,0.5375,0.5,0.65,0.55625,0.5375,0.694444444444444,0.472222222222222,0.625,0.7,0.325,0.675
8,male,0.5625,0.51875,0.7125,0.8125,0.4625,0.5375,0.638888888888889,0.777777777777778,0.5,0.65,0.65,0.5,0.6,0.5,0.68125,0.50625,0.5625,0.60625,0.597222222222222,0.527777777777778,0.5,0.525,0.825,0.75
9,female,0.425,0.70625,0.55,0.4125,0.6875,0.3375,0.527777777777778,0.583333333333333,0.5,0.5,0.55,0.45,0.5125,0.61875,0.575,0.58125,0.4375,0.5,0.569444444444444,0.680555555555556,0.6,0.55,0.55,0.525
10,female,0.41875,0.5625,0.475,0.4125,0.7125,0.6,0.5,0.555555555555556,0.5,0.45,0.55,0.75,0.6875,0.50625,0.46875,0.49375,0.73125,0.76875,0.486111111111111,0.597222222222222,0.5,0.525,0.525,0.7
11,male,0.55625,0.63125,0.75,0.475,0.4875,0.4,0.444444444444444,0.777777777777778,0.5,0.5,0.4,0.65,0.54375,0.484375,0.74375,0.74375,0.60625,0.525,0.444444444444444,0.5,0.6,0.625,0.625,0.7
12,male,0.5375,0.4125,0.5625,0.3875,0.725,0.5625,0.611111111111111,0.555555555555556,0.4,0.65,0.45,0.75,0.696875,0.665625,0.51875,0.63125,0.6625,0.625,0.5,0.583333333333333,0.575,0.625,0.5,0.4
13,male,0.475,0.425,0.4875,0.75,0.575,0.475,0.5,0.444444444444444,0.6,0.45,0.6,0.5,0.496875,0.471875,0.6375,0.54375,0.51875,0.7125,0.527777777777778,0.513888888888889,0.5,0.675,0.625,0.725
14,female,0.5625,0.6,0.575,0.6,0.45,0.8125,0.583333333333333,0.694444444444444,0.75,0.55,0.7,0.4,0.54375,0.571875,0.4625,0.61875,0.6,0.7625,0.625,0.625,0.7,0.65,0.675,0.825
15,female,0.58125,0.6,0.5375,0.4875,0.6,0.6875,0.583333333333333,0.611111111111111,0.55,0.65,0.85,0.55,0.521875,0.54375,0.4875,0.56875,0.53125,0.49375,0.541666666666667,0.541666666666667,0.45,0.65,0.45,0.525
16,male,0.7375,0.80625,0.65,0.5375,0.5375,0.4125,0.583333333333333,0.555555555555556,0.3,0.45,0.65,0.6,0.646875,0.659375,0.4875,0.6375,0.55,0.45,0.555555555555556,0.680555555555556,0.525,0.55,0.625,0.425
17,male,0.58125,0.54375,0.65,0.6,0.4625,0.6375,0.555555555555556,0.611111111111111,0.55,0.5,0.5,0.45,0.571875,0.590625,0.7625,0.5125,0.70625,0.48125,0.611111111111111,0.625,0.65,0.575,0.525,0.55
18,male,0.60625,0.66875,0.4125,0.525,0.7,0.5625,0.611111111111111,0.611111111111111,0.6,0.5,0.5,0.65,0.55,0.428125,0.63125,0.6625,0.475,0.56875,0.527777777777778,0.583333333333333,0.625,0.625,0.525,0.65
19,male,0.40625,0.575,0.475,0.45,0.55,0.3125,0.611111111111111,0.666666666666667,0.5,0.5,0.65,0.55,0.503125,0.565625,0.50625,0.4875,0.4625,0.4625,0.555555555555556,0.625,0.65,0.5,0.55,0.55
20,female,0.51875,0.51875,0.5625,0.6875,0.4625,0.675,0.527777777777778,0.611111111111111,0.7,0.7,0.65,0.6,0.60625,0.55,0.69375,0.66875,0.7375,0.625,0.583333333333333,0.666666666666667,0.65,0.575,0.5,0.525
21,male,0.54375,0.4875,0.525,0.625,0.7875,0.6375,0.5,0.75,0.7,0.55,0.5,0.7,0.646875,0.703125,0.73125,0.76875,0.55,0.54375,0.569444444444444,0.652777777777778,0.4,0.675,0.575,0.575
22,male,0.54375,0.51875,0.5125,0.6625,0.55,0.4125,0.611111111111111,0.527777777777778,0.7,0.55,0.55,0.45,0.509375,0.56875,0.58125,0.71875,0.60625,0.65,0.458333333333333,0.527777777777778,0.625,0.625,0.575,0.7
23,male,0.5375,0.625,0.525,0.6375,0.45,0.5,0.5,0.805555555555556,0.6,0.6,0.6,0.5,0.525,0.621875,0.5875,0.58125,0.775,0.56875,0.513888888888889,0.680555555555556,0.5,0.625,0.4,0.525
24,male,0.49375,0.49375,0.3875,0.45,0.65,0.7125,0.611111111111111,0.611111111111111,0.35,0.45,0.55,0.45,0.540625,0.55,0.55,0.48125,0.625,0.6875,0.597222222222222,0.527777777777778,0.475,0.525,0.575,0.675
25,female,0.59375,0.49375,0.75,0.4375,0.5125,0.475,0.472222222222222,0.638888888888889,0.4,0.55,0.65,0.55,0.59375,0.503125,0.4375,0.5125,0.625,0.53125,0.638888888888889,0.680555555555556,0.55,0.45,0.625,0.675
26,male,0.76875,0.55,0.5,0.8625,0.45,0.4625,0.5,0.472222222222222,0.4,0.8,0.35,0.65,0.559375,0.453125,0.55,0.63125,0.48125,0.4375,0.486111111111111,0.583333333333333,0.675,0.7,0.575,0.575
27,male,0.4625,0.5,0.575,0.5875,0.5125,0.6125,0.444444444444444,0.722222222222222,0.65,0.65,0.6,0.7,0.559375,0.459375,0.5875,0.6375,0.575,0.65,0.583333333333333,0.527777777777778,0.675,0.75,0.625,0.625
28,female,0.5125,0.525,0.525,0.45,0.5125,0.6125,0.694444444444444,0.583333333333333,0.5,0.5,0.6,0.35,0.484375,0.546875,0.4875,0.48125,0.5,0.5,0.555555555555556,0.416666666666667,0.525,0.45,0.55,0.6
29,male,0.60625,0.69375,0.7375,0.4375,0.725,0.6625,0.611111111111111,0.583333333333333,0.45,0.5,0.75,0.6,0.640625,0.55,0.6375,0.5,0.5625,0.4625,0.611111111111111,0.680555555555556,0.525,0.6,0.675,0.55
30,female,0.48125,0.59375,0.6,0.6375,0.6,0.3625,0.611111111111111,0.694444444444444,0.45,0.65,0.75,0.55,0.496875,0.54375,0.43125,0.475,0.68125,0.6375,0.597222222222222,0.611111111111111,0.55,0.475,0.725,0.625
31,female,0.5,0.58125,0.6125,0.5875,0.5125,0.7125,0.5,0.694444444444444,0.65,0.5,0.6,0.7,0.640625,0.58125,0.4875,0.4875,0.525,0.4875,0.680555555555556,0.694444444444444,0.525,0.575,0.625,0.5
32,female,0.44375,0.65,0.5,0.5625,0.75,0.5,0.555555555555556,0.722222222222222,0.65,0.85,0.55,0.8,0.4375,0.565625,0.525,0.54375,0.73125,0.675,0.569444444444444,0.666666666666667,0.7,0.425,0.55,0.85
33,male,0.725,0.6625,0.575,0.4875,0.55,0.725,0.583333333333333,0.555555555555556,0.75,0.65,0.45,0.4,0.696875,0.54375,0.4625,0.53125,0.58125,0.45625,0.569444444444444,0.555555555555556,0.525,0.575,0.525,0.5
34,male,0.675,0.61875,0.7125,0.7375,0.4625,0.7875,0.666666666666667,0.611111111111111,0.55,0.6,0.75,0.65,0.540625,0.578125,0.6875,0.625,0.55625,0.59375,0.652777777777778,0.625,0.525,0.575,0.55,0.6
35,male,0.5,0.53125,0.475,0.6875,0.4625,0.7375,0.527777777777778,0.583333333333333,0.25,0.85,0.45,0.75,0.459375,0.51875,0.53125,0.79375,0.475,0.70625,0.486111111111111,0.541666666666667,0.65,0.575,0.6,0.525
36,male,0.55625,0.55,0.5625,0.6625,0.4875,0.5875,0.638888888888889,0.722222222222222,0.7,0.8,0.7,0.5,0.434375,0.546875,0.49375,0.51875,0.775,0.5875,0.722222222222222,0.736111111111111,0.75,0.7,0.6,0.675
37,male,0.625,0.59375,0.4,0.725,0.625,0.5375,0.5,0.555555555555556,0.55,0.6,0.5,0.65,0.584375,0.575,0.525,0.5125,0.75,0.6,0.541666666666667,0.625,0.575,0.75,0.65,0.65
38,male,0.475,0.6375,0.425,0.5125,0.45,0.4125,0.416666666666667,0.611111111111111,0.8,0.45,0.5,0.65,0.6,0.65625,0.46875,0.5125,0.60625,0.53125,0.541666666666667,0.666666666666667,0.5,0.575,0.65,0.575
39,female,0.5875,0.6125,0.475,0.4125,0.525,0.575,0.416666666666667,0.611111111111111,0.4,0.2,0.4,0.45,0.5875,0.534375,0.5625,0.60625,0.55,0.56875,0.402777777777778,0.541666666666667,0.5,0.525,0.6,0.425
40,male,0.50625,0.50625,0.7,0.6625,0.625,0.65,0.527777777777778,0.694444444444444,0.75,0.8,0.65,0.75,0.65625,0.58125,0.65625,0.54375,0.61875,0.525,0.694444444444444,0.638888888888889,0.575,0.65,0.55,0.525
41,male,0.5375,0.4875,0.4625,0.6,0.425,0.425,0.472222222222222,0.583333333333333,0.55,0.5,0.5,0.45,0.678125,0.659375,0.525,0.575,0.48125,0.4875,0.583333333333333,0.652777777777778,0.675,0.75,0.575,0.55
42,male,0.54375,0.6,0.3875,0.475,0.6125,0.5375,0.722222222222222,0.666666666666667,0.5,0.45,0.45,0.7,0.528125,0.56875,0.55625,0.59375,0.4625,0.475,0.625,0.666666666666667,0.55,0.45,0.425,0.45
43,male,0.64375,0.625,0.5875,0.5875,0.525,0.6625,0.722222222222222,0.638888888888889,0.6,0.5,0.7,0.75,0.5375,0.440625,0.61875,0.625,0.5,0.60625,0.527777777777778,0.541666666666667,0.575,0.6,0.6,0.425
44,female,0.53125,0.525,0.5,0.525,0.45,0.6,0.472222222222222,0.527777777777778,0.55,0.7,0.6,0.6,0.590625,0.5625,0.4875,0.6375,0.4,0.5,0.638888888888889,0.583333333333333,0.525,0.7,0.425,0.6
